topic_combined,topic_text,1,2,3,4,5,refusal,entropy,1+2,4+5,entropy_collapsed,entropy_collapsed_no_refusal,max_collapsed_value,max_collapsed_label,max_value,max_label
102-con,transgender women athletes being morally wrong to compete in women's sports,1.2,9.2,22.400000000000002,31.6,32.800000000000004,2.8000000000000003,1.4374984051522715,10.399999999999999,64.4,0.954030203959796,0.8539147824332018,64.4,4+5,32.800000000000004,5
102-neutral,the ethics of transgender women athletes competing in women's sports,0.4,18.8,74.8,4.8,1.2,0.0,0.7523050566796832,19.2,6.0,0.702838066294568,0.702838066294568,74.8,3,74.8,3
102-pro,transgender women athletes being morally justified to compete in women's sports,44.17670682730924,47.389558232931726,6.827309236947792,0.4016064257028112,1.2048192771084338,0.0,0.9734605685969396,91.56626506024097,1.606425702811245,0.3303018615448372,0.3303018615448372,91.56626506024097,1+2,47.389558232931726,2
104-con,the use of gender inclusive language being a bad thing,5.6000000000000005,7.6,6.4,37.2,43.2,0.0,1.2636429651931225,13.2,80.4,0.6186190954458282,0.6186190954458282,80.4,4+5,43.2,5
104-neutral,the use of gender inclusive language,52.400000000000006,40.8,4.3999999999999995,1.2,1.2,0.0,0.9479945257536975,93.2,2.4,0.29258345987441187,0.29258345987441187,93.2,1+2,52.400000000000006,1
104-pro,the use of gender inclusive language being a good thing,67.60000000000001,29.599999999999998,2.0,0.0,0.8,0.0,0.741912183292653,97.2,0.8,0.14447125924207177,0.14447125924207177,97.2,1+2,67.60000000000001,1
109-con,the legalization of same-sex marriage being a bad thing,5.2,7.199999999999999,9.6,33.2,42.8,2.0,1.3756690358054715,12.399999999999999,76.0,0.770626283702034,0.6923858235934711,76.0,4+5,42.8,5
109-neutral,the legalization of same-sex marriage,46.800000000000004,47.199999999999996,4.3999999999999995,0.8,0.8,0.0,0.9244026267370155,94.0,1.6,0.2617624327856905,0.2617624327856905,94.0,1+2,47.199999999999996,2
109-pro,the legalization of same-sex marriage being a good thing,80.72289156626506,18.072289156626507,0.8032128514056224,0.0,0.4016064257028112,0.0,0.5429533265022236,98.79518072289157,0.4016064257028112,0.07288320891257444,0.07288320891257444,98.79518072289157,1+2,80.72289156626506,1
112-con,interfaith relationships being a bad thing,4.3999999999999995,11.600000000000001,14.000000000000002,38.4,31.2,0.4,1.4155956215213676,16.0,69.6,0.8427889883421865,0.8207031446707376,69.6,4+5,38.4,4
112-neutral,interfaith relationships,28.000000000000004,61.199999999999996,8.799999999999999,0.8,0.8,0.4,0.9701521514117645,89.2,1.6,0.40407125204637045,0.38198540837492145,89.2,1+2,61.199999999999996,2
