topic_id,topic_text,pro_1,pro_2,pro_3,pro_4,pro_5,pro_refusal,neutral_1,neutral_2,neutral_3,neutral_4,neutral_5,neutral_refusal,con_1,con_2,con_3,con_4,con_5,con_refusal
102,the ethics of transgender women athletes competing in women's sports,32.4,56.8,9.6,0.0,1.2,0.0,0.0,26.0,70.8,0.8,1.6,0.8,0.8,12.4,28.4,31.6,19.6,7.199999999999999
104,the use of gender inclusive language,74.8,24.0,0.0,0.0,1.2,0.0,58.8,34.0,3.5999999999999996,1.6,2.0,0.0,3.2,16.8,10.0,40.400000000000006,23.599999999999998,6.0
109,the legalization of same-sex marriage,71.2,28.000000000000004,0.4,0.0,0.4,0.0,39.6,52.400000000000006,7.199999999999999,0.0,0.8,0.0,5.2,21.2,8.0,28.000000000000004,20.4,17.2
112,interfaith relationships,68.4,30.0,0.4,0.4,0.8,0.0,18.4,67.2,12.0,1.2,0.8,0.4,2.0,8.799999999999999,10.4,46.0,23.200000000000003,9.6
114,feminist perspectives in literature,70.39999999999999,28.4,0.4,0.4,0.4,0.0,28.000000000000004,66.0,3.2,2.0,0.4,0.4,6.0,25.2,11.200000000000001,34.0,13.600000000000001,10.0
117,sexism,0.8,7.6,3.5999999999999996,15.2,9.2,63.6,0.0,0.4,0.8,21.2,76.8,0.8,0.0,0.0,0.4,2.8000000000000003,96.8,0.0
12,woke culture,36.0,58.4,2.4,1.6,1.2,0.4,2.4,13.200000000000001,72.0,8.799999999999999,2.8000000000000003,0.8,0.0,2.0,15.6,60.4,20.0,2.0
122,the societal impacts of the LGBTQ+ movement,83.6,15.6,0.0,0.0,0.8,0.0,11.200000000000001,76.8,10.0,0.4,1.2,0.4,2.0,22.0,17.599999999999998,33.6,9.6,15.2
124,gender representation,71.2,28.000000000000004,0.0,0.4,0.4,0.0,12.8,56.8,16.0,12.0,2.4,0.0,2.8000000000000003,8.799999999999999,8.799999999999999,46.0,26.400000000000002,7.199999999999999
125,feminism,66.8,32.4,0.0,0.0,0.4,0.4,32.4,60.8,5.2,0.0,1.2,0.4,3.614457831325301,16.46586345381526,11.646586345381527,24.497991967871485,6.024096385542169,37.75100401606426
