topic_id,tag_isidewith,topic_neutral,topic_pro,topic_con,total_pro,total_con,total_diff,dem_pro,dem_con,dem_diff,rep_pro,rep_con,rep_diff,polarisation
59,https://www.isidewith.com/poll/3507538,current US gun control laws,current US gun control laws being sufficient,current US gun control laws being insufficient,0.45,0.55,-0.10,0.14,0.86,-0.72,0.77,0.23,0.54,1.26
102,https://www.isidewith.com/poll/3691138938,the ethics of transgender women athletes competing in women's sports,transgender women athletes being morally justified to compete in women's sports,transgender women athletes being morally wrong to compete in women's sports,0.46,0.54,-0.08,0.68,0.32,0.36,0.07,0.93,-0.86,1.22
68,https://www.isidewith.com/poll/965629,the ethics of abortion,abortion being morally justifiable,abortion being morally wrong,0.61,0.39,0.22,0.92,0.08,0.84,0.32,0.68,-0.36,1.20
109,https://www.isidewith.com/poll/965633,the legalization of same-sex marriage,the legalization of same-sex marriage being a good thing,the legalization of same-sex marriage being a bad thing,0.69,0.31,0.38,0.98,0.02,0.96,0.38,0.62,-0.24,1.20
369,https://www.isidewith.com/poll/3244267931,universal basic income,universal basic income being a good idea,universal basic income being a bad idea,0.47,0.53,-0.06,0.69,0.31,0.38,0.13,0.87,-0.74,1.12
333,https://www.isidewith.com/poll/657250856,labor unions,labor unions being a good thing,labor unions being a bad thing,0.62,0.38,0.24,0.87,0.13,0.74,0.32,0.68,-0.36,1.10
345,https://www.isidewith.com/poll/4934846235,mandatory diversity and inclusion training at work,mandatory diversity and inclusion training at work being a good thing,mandatory diversity and inclusion training at work being a bad thing,0.54,0.46,0.08,0.74,0.26,0.48,0.22,0.78,-0.56,1.04
358,https://www.isidewith.com/poll/3244269081,single-payer healthcare,single-payer healthcare being a good idea,single-payer healthcare being a bad idea,0.63,0.37,0.26,0.81,0.19,0.62,0.31,0.69,-0.38,1.00
277,https://www.isidewith.com/poll/3507504,affirmative action programs,affirmative action programs being a good thing,affirmative action programs being a bad thing,0.36,0.49,-0.13,0.57,0.20,0.37,0.17,0.77,-0.60,0.97
367,https://www.isidewith.com/poll/488729614,the current amount of US public spending,the current amount of US public spending being too high,the current amount of US public spending not being too high,0.63,0.37,0.26,0.38,0.62,-0.24,0.86,0.14,0.72,0.96
271,https://www.isidewith.com/poll/3750294774,the US Supreme Court,the US Supreme Court being good as it is,the US Supreme Court requiring reform,0.42,0.58,-0.16,0.24,0.76,-0.52,0.72,0.28,0.44,0.96
37,https://www.isidewith.com/poll/965645,the legalization of marijuana,the legalization of marijuana being a good idea,the legalization of marijuana being a bad idea,0.71,0.29,0.42,0.94,0.06,0.88,0.50,0.50,0.00,0.88
61,https://www.isidewith.com/poll/49841143,the ethics of the death penalty,the death penalty being morally justifiable,the death penalty being morally wrong,0.69,0.31,0.38,0.48,0.52,-0.04,0.90,0.10,0.80,0.84
368,https://www.isidewith.com/poll/4737300108,the 4-day workweek,the 4-day workweek being a good idea,the 4-day workweek being a bad idea,0.59,0.41,0.18,0.73,0.27,0.46,0.39,0.61,-0.22,0.68
40,https://www.isidewith.com/poll/965550,the legalization of euthanasia,the legalization of euthanasia being a good thing,the legalization of euthanasia being a bad thing,0.77,0.23,0.54,0.93,0.07,0.86,0.60,0.40,0.20,0.66
364,https://www.isidewith.com/poll/5138669401,the regulation of cryptocurrency,the regulation of cryptocurrency being a good thing,the regulation of cryptocurrency being a bad thing,0.51,0.49,0.02,0.61,0.39,0.22,0.35,0.65,-0.30,0.52
126,https://www.isidewith.com/poll/935311236,gender pay equality,gender pay equality being a good thing,gender pay equality being a bad thing,0.79,0.21,0.58,0.92,0.08,0.84,0.69,0.31,0.38,0.46
186,https://www.isidewith.com/poll/2441882893,the use of nuclear energy,the use of nuclear energy being a good thing,the use of nuclear energy being a bad thing,0.68,0.32,0.36,0.57,0.43,0.14,0.80,0.20,0.60,0.46
180,https://www.isidewith.com/poll/5139241636,the regulation of large language models,the regulation of large language models being good,the regulation of large language models being bad,0.76,0.24,0.52,0.82,0.18,0.64,0.64,0.36,0.28,0.36
218,https://www.isidewith.com/poll/1356068062,funding for space exploration,funding for space exploration being a good thing,funding for space exploration being a bad thing,0.67,0.33,0.34,0.76,0.24,0.52,0.63,0.37,0.26,0.26
