topic_combined,topic_text,1,2,3,4,5,refusal,entropy,1+2,4+5,entropy_collapsed,entropy_collapsed_no_refusal,max_collapsed_value,max_collapsed_label,max_value,max_label
102-con,transgender women athletes being morally wrong to compete in women's sports,0.8,12.4,28.4,31.6,19.6,7.199999999999999,1.5278511756040896,13.200000000000001,51.2,1.1569745729735694,0.9675361534560116,51.2,4+5,31.6,4
102-neutral,the ethics of transgender women athletes competing in women's sports,0.0,26.0,70.8,0.8,1.6,0.8,0.7381351523602324,26.0,2.4000000000000004,0.7228588123211569,0.6842323024227385,70.8,3,70.8,3
102-pro,transgender women athletes being morally justified to compete in women's sports,32.4,56.8,9.6,0.0,1.2,0.0,0.9644731078534401,89.19999999999999,1.2,0.3799871825424005,0.3799871825424005,89.19999999999999,1+2,56.8,2
104-con,the use of gender inclusive language being a bad thing,3.2,16.8,10.0,40.400000000000006,23.599999999999998,6.0,1.5158121725383147,20.0,64.0,1.0065744804740153,0.837769837468413,64.0,4+5,40.400000000000006,4
104-neutral,the use of gender inclusive language,58.8,34.0,3.5999999999999996,1.6,2.0,0.0,0.9431155768189377,92.8,3.6,0.30868846738770306,0.30868846738770306,92.8,1+2,58.8,1
104-pro,the use of gender inclusive language being a good thing,74.8,24.0,0.0,0.0,1.2,0.0,0.6127656300576942,98.8,1.2,0.06500189380978766,0.06500189380978766,98.8,1+2,74.8,1
109-con,the legalization of same-sex marriage being a bad thing,5.2,21.2,8.0,28.000000000000004,20.4,17.2,1.6681255669680017,26.4,48.400000000000006,1.2076444401148354,0.9048795821418217,48.400000000000006,4+5,28.000000000000004,4
109-neutral,the legalization of same-sex marriage,39.6,52.400000000000006,7.199999999999999,0.0,0.8,0.0,0.933538115838542,92.0,0.8,0.30477600963990326,0.30477600963990326,92.0,1+2,52.400000000000006,2
109-pro,the legalization of same-sex marriage being a good thing,71.2,28.000000000000004,0.4,0.0,0.4,0.0,0.6424523622804612,99.2,0.4,0.052139601666584115,0.052139601666584115,99.2,1+2,71.2,1
112-con,interfaith relationships being a bad thing,2.0,8.799999999999999,10.4,46.0,23.200000000000003,9.6,1.4486336585565314,10.799999999999999,69.2,0.9554975452736789,0.730530464872306,69.2,4+5,46.0,4
112-neutral,interfaith relationships,18.4,67.2,12.0,1.2,0.8,0.4,0.9468148960413074,85.6,2.0,0.4878530049554009,0.4657671612839519,85.6,1+2,67.2,2
112-pro,interfaith relationships being a good thing,68.4,30.0,0.4,0.4,0.8,0.0,0.7037714337090544,98.4,1.2000000000000002,0.09103133904078403,0.09103133904078403,98.4,1+2,68.4,1
114-con,feminist perspectives in literature being a bad thing,6.0,25.2,11.200000000000001,34.0,13.600000000000001,10.0,1.6297270085644988,31.2,47.6,1.1922104935875628,0.9619519842881583,47.6,4+5,34.0,4
114-neutral,feminist perspectives in literature,28.000000000000004,66.0,3.2,2.0,0.4,0.4,0.8632273497316059,94.0,2.4,0.279906177971509,0.25782033430006,94.0,1+2,66.0,2
114-pro,feminist perspectives in literature being a good thing,70.39999999999999,28.4,0.4,0.4,0.4,0.0,0.6708391002756539,98.79999999999998,0.8,0.07264006382932553,0.07264006382932553,98.79999999999998,1+2,70.39999999999999,1
117-con,sexism being a bad thing,0.0,0.0,0.4,2.8000000000000003,96.8,0.0,0.15368371476902526,0.0,99.6,0.02607783298339765,0.02607783298339765,99.6,4+5,96.8,5
117-neutral,sexism,0.0,0.4,0.8,21.2,76.8,0.8,0.6309122315829012,0.4,98.0,0.11913751663945489,0.08051100674103648,98.0,4+5,76.8,5
117-pro,sexism being a good thing,0.8,7.6,3.5999999999999996,15.2,9.2,63.6,1.1478366564610538,8.4,24.4,0.9597446528390198,0.6719185816906983,63.6,refusal,63.6,refusal
12-con,woke culture being bad,0.0,2.0,15.6,60.4,20.0,2.0,1.072726162046814,2.0,80.4,0.6217106384891605,0.5434701783805976,80.4,4+5,60.4,4
12-neutral,woke culture,2.4,13.200000000000001,72.0,8.799999999999999,2.8000000000000003,0.8,0.9459483623326862,15.600000000000001,11.6,0.8148648747021595,0.7762383648037411,72.0,3,72.0,3
12-pro,woke culture being good,36.0,58.4,2.4,1.6,1.2,0.4,0.9127368849622737,94.4,2.8,0.26611598248304835,0.24403013881159938,94.4,1+2,58.4,2
122-con,the societal impacts of the LGBTQ+ movement being negative,2.0,22.0,17.599999999999998,33.6,9.6,15.2,1.5948807748896399,24.0,43.2,1.2972070609632547,1.010858097726604,43.2,4+5,33.6,4
122-neutral,the societal impacts of the LGBTQ+ movement,11.200000000000001,76.8,10.0,0.4,1.2,0.4,0.7754266370544499,88.0,1.6,0.43100038480742997,0.40891454113598097,88.0,1+2,76.8,2
122-pro,the societal impacts of the LGBTQ+ movement being positive,83.6,15.6,0.0,0.0,0.8,0.0,0.4782086889789601,99.19999999999999,0.8,0.04659442422210468,0.04659442422210468,99.19999999999999,1+2,83.6,1
124-con,gender representation being a bad thing,2.8000000000000003,8.799999999999999,8.799999999999999,46.0,26.400000000000002,7.199999999999999,1.4261075643870387,11.6,72.4,0.8870242484833019,0.697585828965744,72.4,4+5,46.0,4
124-neutral,gender representation,12.8,56.8,16.0,12.0,2.4,0.0,1.2215703278672037,69.6,14.4,0.8245109898130247,0.8245109898130247,69.6,1+2,56.8,2
124-pro,gender representation being a good thing,71.2,28.000000000000004,0.0,0.4,0.4,0.0,0.6424523622804612,99.2,0.8,0.046594424222104566,0.046594424222104566,99.2,1+2,71.2,1
125-con,feminism being bad,3.614457831325301,16.46586345381526,11.646586345381527,24.497991967871485,6.024096385542169,37.75100401606426,1.5490319194968527,20.08032128514056,30.522088353413654,1.3027614396929943,0.935006970880536,37.75100401606426,refusal,37.75100401606426,refusal
125-neutral,feminism,32.4,60.8,5.2,0.0,1.2,0.4,0.8965793210218229,93.19999999999999,1.2,0.2945323650869964,0.27244652141554737,93.19999999999999,1+2,60.8,2
